"","Reporter","ReporterISO","Partner","PartnerISO","Year","ttl_val"
"1","Albania","ALB","World","WLD",2017,2301340965
"2","Algeria","DZA","World","WLD",2017,35191117416
"3","Andorra","AND","World","WLD",2017,117965611
"4","Australia","AUS","World","WLD",2017,230536736593
"5","Austria","AUT","World","WLD",2017,159970530802
"6","Bahrain","BHR","World","WLD",2017,12485359226
"7","Armenia","ARM","World","WLD",2017,2144962969
"8","Belgium","BEL","World","WLD",2017,296556522030
"9","Bermuda","BMU","World","WLD",2017,11742165
"10","Bolivia (Plurinational State of)","BOL","World","WLD",2017,8367078520
"11","Bosnia Herzegovina","BIH","World","WLD",2017,6367922271
"12","Brazil","BRA","World","WLD",2017,214988108353
"13","Brunei Darussalam","BRN","World","WLD",2017,5570575213
"14","Bulgaria","BGR","World","WLD",2017,31588418276
"15","Myanmar","MMR","World","WLD",2017,13878764485
"16","Belarus","BLR","World","WLD",2017,29239993900
"17","Cambodia","KHM","World","WLD",2017,11278127964
"18","Canada","CAN","World","WLD",2017,420074382189
"19","Sri Lanka","LKA","World","WLD",2017,11741036786
"20","Chile","CHL","World","WLD",2017,68858401595
"21","China","CHN","World","WLD",2017,2263370504301
"22","Colombia","COL","World","WLD",2017,37766321060
"23","Costa Rica","CRI","World","WLD",2017,11296640428
"24","Croatia","HRV","World","WLD",2017,15732485216
"25","Cyprus","CYP","World","WLD",2017,3360808639
"26","Czechia","CZE","World","WLD",2017,182231360523
"27","Denmark","DNK","World","WLD",2017,101434430887
"28","Dominican Rep.","DOM","World","WLD",2017,10224658400
"29","Ecuador","ECU","World","WLD",2017,19092352242
"30","El Salvador","SLV","World","WLD",2017,5760015207
"31","Estonia","EST","World","WLD",2017,15387735462
"32","Fiji","FJI","World","WLD",2017,1036149194
"33","Finland","FIN","World","WLD",2017,67280640848
"34","France","FRA","World","WLD",2017,523385133284
"35","Georgia","GEO","World","WLD",2017,2745736005
"36","Germany","DEU","World","WLD",2017,1446642435221
"37","Greece","GRC","World","WLD",2017,32154816405
"38","Greenland","GRL","World","WLD",2017,595837190
"39","Guatemala","GTM","World","WLD",2017,11011391397
"40","Honduras","HND","World","WLD",2017,4970144395
"41","China, Hong Kong SAR","HKG","World","WLD",2017,549861455213
"42","Hungary","HUN","World","WLD",2017,113382077421
"43","Iceland","ISL","World","WLD",2017,4882605885
"44","Indonesia","IDN","World","WLD",2017,168810042930
"45","Iran","IRN","World","WLD",2017,105844085748
"46","Ireland","IRL","World","WLD",2017,138072213252
"47","Israel","ISR","World","WLD",2017,61150141000
"48","Italy","ITA","World","WLD",2017,507430236336
"49","Japan","JPN","World","WLD",2017,698131223694
"50","Kazakhstan","KAZ","World","WLD",2017,48502738958
"51","Jordan","JOR","World","WLD",2017,7469238450
"52","Rep. of Korea","KOR","World","WLD",2017,573627368937
"53","Kuwait","KWT","World","WLD",2017,54991871282
"54","Kyrgyzstan","KGZ","World","WLD",2017,1757463670
"55","Lao People's Dem. Rep.","LAO","World","WLD",2017,4909733654
"56","Lebanon","LBN","World","WLD",2017,2844446138
"57","Lesotho","LSO","World","WLD",2017,673150837
"58","Latvia","LVA","World","WLD",2017,13189947231
"59","Lithuania","LTU","World","WLD",2017,29349549370
"60","Luxembourg","LUX","World","WLD",2017,11517510520
"61","Madagascar","MDG","World","WLD",2017,2851663745
"62","Malaysia","MYS","World","WLD",2017,217722507482
"63","Maldives","MDV","World","WLD",2017,199345279
"64","Malta","MLT","World","WLD",2017,4077731851
"65","Mauritius","MUS","World","WLD",2017,2102621814
"66","Other Asia, nes",NA,"World","WLD",2017,317663172110
"67","Mongolia","MNG","World","WLD",2017,6200592951
"68","Montenegro","MNE","World","WLD",2017,420870887
"69","Morocco","MAR","World","WLD",2017,25624297849
"70","Oman","OMN","World","WLD",2017,32904047205
"71","Namibia","NAM","World","WLD",2017,5229360925
"72","Netherlands","NLD","World","WLD",2017,527907822349
"73","New Zealand","NZL","World","WLD",2017,38050286199
"74","Nicaragua","NIC","World","WLD",2017,4925581177
"75","Norway","NOR","World","WLD",2017,101976020159
"76","Pakistan","PAK","World","WLD",2017,21877787164
"77","Panama","PAN","World","WLD",2017,10600819757
"78","Paraguay","PRY","World","WLD",2017,8679833045
"79","Peru","PER","World","WLD",2017,44237949422
"80","Poland","POL","World","WLD",2017,221307621302
"81","Portugal","PRT","World","WLD",2017,62116840516
"82","Romania","ROU","World","WLD",2017,70626887499
"83","Russian Federation","RUS","World","WLD",2017,379206606018
"84","Serbia","SRB","World","WLD",2017,16959040119
"85","India","IND","World","WLD",2017,294364490162
"86","Slovakia","SVK","World","WLD",2017,83475386333
"87","Slovenia","SVN","World","WLD",2017,31893789564
"88","South Africa","ZAF","World","WLD",2017,88233218989
"89","Spain","ESP","World","WLD",2017,311600619481
"90","Sudan","SDN","World","WLD",2017,4240642666
"91","Eswatini","SWZ","World","WLD",2017,1801000657
"92","Sweden","SWE","World","WLD",2017,153158564964
"93","Switzerland","CHE","World","WLD",2017,299331427818
"94","Thailand","THA","World","WLD",2017,236634037692
"95","Turkey","TUR","World","WLD",2017,164494619316
"96","North Macedonia","MKD","World","WLD",2017,5682803081
"97","United Kingdom","GBR","World","WLD",2017,441847324214
"98","United Rep. of Tanzania","TZA","World","WLD",2017,4178109062
"99","USA","USA","World","WLD",2017,1545809598154
"100","Burkina Faso","BFA","World","WLD",2017,2909370118
"101","Uruguay","URY","World","WLD",2017,7889387375
"102","Zambia","ZMB","World","WLD",2017,8006789539
"103","Albania","ALB","World","WLD",2018,2875859778
"104","Andorra","AND","World","WLD",2018,129448151
"105","Angola","AGO","World","WLD",2018,42096736310
"106","Azerbaijan","AZE","World","WLD",2018,19489068203
"107","Argentina","ARG","World","WLD",2018,61558357420
"108","Australia","AUS","World","WLD",2018,252757844372
"109","Austria","AUT","World","WLD",2018,176991970620
"110","Bahrain","BHR","World","WLD",2018,14347737494
"111","Armenia","ARM","World","WLD",2018,2383413799
"112","Belgium","BEL","World","WLD",2018,323378438760
"113","Bermuda","BMU","World","WLD",2018,22912424
"114","Bolivia (Plurinational State of)","BOL","World","WLD",2018,9110355630
"115","Bosnia Herzegovina","BIH","World","WLD",2018,7182096317
"116","Botswana","BWA","World","WLD",2018,6122376817
"117","Brazil","BRA","World","WLD",2018,231889523399
"118","Belize","BLZ","World","WLD",2018,240911158
"119","Brunei Darussalam","BRN","World","WLD",2018,6573636942
"120","Bulgaria","BGR","World","WLD",2018,33787143989
"121","Myanmar","MMR","World","WLD",2018,16694858193
"122","Belarus","BLR","World","WLD",2018,33726141400
"123","Cambodia","KHM","World","WLD",2018,12700279675
"124","Canada","CAN","World","WLD",2018,450392396468
"125","Chile","CHL","World","WLD",2018,75481713821
"126","China","CHN","World","WLD",2018,2494230194966
"127","Colombia","COL","World","WLD",2018,41831520220
"128","Comoros","COM","World","WLD",2018,46214060
"129","Congo","COG","World","WLD",2018,11155029324
"130","Costa Rica","CRI","World","WLD",2018,11251781448
"131","Croatia","HRV","World","WLD",2018,17210469290
"132","Cyprus","CYP","World","WLD",2018,5064927294
"133","Czechia","CZE","World","WLD",2018,202521577709
"134","Denmark","DNK","World","WLD",2018,108521449414
"135","Dominican Rep.","DOM","World","WLD",2018,10758011760
"136","Ecuador","ECU","World","WLD",2018,21606133822
"137","El Salvador","SLV","World","WLD",2018,5905411210
"138","Estonia","EST","World","WLD",2018,17851477710
"139","Fiji","FJI","World","WLD",2018,1006818442
"140","Finland","FIN","World","WLD",2018,75258290459
"141","France","FRA","World","WLD",2018,568535879844
"142","Georgia","GEO","World","WLD",2018,3379725037
"143","Germany","DEU","World","WLD",2018,1562418816337
"144","Ghana","GHA","World","WLD",2018,17099588399
"145","Greece","GRC","World","WLD",2018,39490521437
"146","Greenland","GRL","World","WLD",2018,640897343
"147","Guatemala","GTM","World","WLD",2018,10863483936
"148","Honduras","HND","World","WLD",2018,4486630182
"149","China, Hong Kong SAR","HKG","World","WLD",2018,569105739731
"150","Hungary","HUN","World","WLD",2018,123957885048
"151","Iceland","ISL","World","WLD",2018,5561475841
"152","Indonesia","IDN","World","WLD",2018,180215034437
"153","Iran","IRN","World","WLD",2018,96617521276
"154","Ireland","IRL","World","WLD",2018,167017887791
"155","Israel","ISR","World","WLD",2018,61906412000
"156","Italy","ITA","World","WLD",2018,549906995682
"157","Côte d'Ivoire","CIV","World","WLD",2018,11820908494
"158","Jamaica","JAM","World","WLD",2018,1960739706
"159","Japan","JPN","World","WLD",2018,738195054863
"160","Kazakhstan","KAZ","World","WLD",2018,61109053214
"161","Jordan","JOR","World","WLD",2018,7750262862
"162","Rep. of Korea","KOR","World","WLD",2018,604807317420
"163","Kuwait","KWT","World","WLD",2018,71941444555
"164","Kyrgyzstan","KGZ","World","WLD",2018,1835179371
"165","Lao People's Dem. Rep.","LAO","World","WLD",2018,5814806369
"166","Lebanon","LBN","World","WLD",2018,2952759932
"167","Latvia","LVA","World","WLD",2018,15064999864
"168","Lithuania","LTU","World","WLD",2018,33334576736
"169","Luxembourg","LUX","World","WLD",2018,15148367371
"170","China, Macao SAR","MAC","World","WLD",2018,1161004083
"171","Madagascar","MDG","World","WLD",2018,3133017751
"172","Malaysia","MYS","World","WLD",2018,248711690011
"173","Maldives","MDV","World","WLD",2018,181711401
"174","Mali","MLI","World","WLD",2018,3633806900
"175","Malta","MLT","World","WLD",2018,3868514079
"176","Mauritius","MUS","World","WLD",2018,1987672862
"177","Other Asia, nes",NA,"World","WLD",2018,335743566738
"178","Mongolia","MNG","World","WLD",2018,7011757684
"179","Montenegro","MNE","World","WLD",2018,465997357
"180","Morocco","MAR","World","WLD",2018,29360137412
"181","Mozambique","MOZ","World","WLD",2018,5195579533
"182","Oman","OMN","World","WLD",2018,41760976158
"183","Namibia","NAM","World","WLD",2018,7488296000
"184","Netherlands","NLD","World","WLD",2018,587893084428
"185","New Zealand","NZL","World","WLD",2018,39838898880
"186","Nicaragua","NIC","World","WLD",2018,5013907569
"187","Niger","NER","World","WLD",2018,1564627862
"188","Norway","NOR","World","WLD",2018,123040316872
"189","Palau","PLW","World","WLD",2018,8620908
"190","Pakistan","PAK","World","WLD",2018,23630892979
"191","Paraguay","PRY","World","WLD",2018,9042140680
"192","Peru","PER","World","WLD",2018,48015148375
"193","Poland","POL","World","WLD",2018,261815268525
"194","Portugal","PRT","World","WLD",2018,74135905807
"195","Romania","ROU","World","WLD",2018,80077606266
"196","Russian Federation","RUS","World","WLD",2018,451494828173
"197","Rwanda","RWA","World","WLD",2018,1004201169
"198","Serbia","SRB","World","WLD",2018,19239126973
"199","Seychelles","SYC","World","WLD",2018,846972441
"200","India","IND","World","WLD",2018,322492099897
"201","Singapore","SGP","World","WLD",2018,411743293747
"202","Slovakia","SVK","World","WLD",2018,93403168103
"203","Viet Nam","VNM","World","WLD",2018,243698698324
"204","Slovenia","SVN","World","WLD",2018,36471278939
"205","South Africa","ZAF","World","WLD",2018,93677434344
"206","Zimbabwe","ZWE","World","WLD",2018,4037267069
"207","Spain","ESP","World","WLD",2018,346064315051
"208","Sudan","SDN","World","WLD",2018,3619251504
"209","Eswatini","SWZ","World","WLD",2018,1842438001
"210","Sweden","SWE","World","WLD",2018,165966633517
"211","Switzerland","CHE","World","WLD",2018,310523862211
"212","Thailand","THA","World","WLD",2018,252485154115
"213","Togo","TGO","World","WLD",2018,1024037778
"214","United Arab Emirates","ARE","World","WLD",2018,387964272061
"215","Tunisia","TUN","World","WLD",2018,15521228910
"216","Turkey","TUR","World","WLD",2018,177168756288
"217","Uganda","UGA","World","WLD",2018,3087363576
"218","North Macedonia","MKD","World","WLD",2018,6906336855
"219","United Kingdom","GBR","World","WLD",2018,490840363553
"220","United Rep. of Tanzania","TZA","World","WLD",2018,3669212438
"221","USA","USA","World","WLD",2018,1665302936591
"222","Burkina Faso","BFA","World","WLD",2018,3267574544
"223","Uruguay","URY","World","WLD",2018,7498004935
"224","Uzbekistan","UZB","World","WLD",2018,10919011727
