"","Reporter","ReporterISO","Partner","PartnerISO","Year","ttl_val"
"1","Afghanistan","AFG","World","WLD",2008,3019860129
"2","Afghanistan","AFG","World","WLD",2008,540065594
"3","Afghanistan","AFG","World","WLD",2009,3336434781
"4","Afghanistan","AFG","World","WLD",2009,403441006
"5","Afghanistan","AFG","World","WLD",2010,5154249867
"6","Afghanistan","AFG","World","WLD",2010,388483635
"7","Afghanistan","AFG","World","WLD",2011,6390310947
"8","Afghanistan","AFG","World","WLD",2011,375850935
"9","Albania","ALB","World","WLD",2009,4548287875
"10","Albania","ALB","World","WLD",2009,1087914902
"11","Albania","ALB","World","WLD",2009,272403
"12","Albania","ALB","World","WLD",2010,4602774967
"13","Albania","ALB","World","WLD",2010,1549955724
"14","Albania","ALB","World","WLD",2010,26393
"15","Albania","ALB","World","WLD",2008,1354921653
"16","Albania","ALB","World","WLD",2008,810868093
"17","Albania","ALB","World","WLD",2008,509068
"18","Albania","ALB","World","WLD",2011,5395853069
"19","Albania","ALB","World","WLD",2011,1948207305
"20","Albania","ALB","World","WLD",2007,4200864046
"21","Albania","ALB","World","WLD",2007,1077690359
"22","Albania","ALB","World","WLD",2007,4494753
"23","Albania","ALB","World","WLD",2008,5250490022
"24","Algeria","DZA","World","WLD",2007,27631203951
"25","Algeria","DZA","World","WLD",2007,60163160346
"26","Algeria","DZA","World","WLD",2008,39474721566
"27","Algeria","DZA","World","WLD",2008,79297591513
"28","Algeria","DZA","World","WLD",2009,39258326938
"29","Algeria","DZA","World","WLD",2009,45193920241
"30","Algeria","DZA","World","WLD",2010,40999891115
"31","Algeria","DZA","World","WLD",2010,57050973573
"32","Algeria","DZA","World","WLD",2011,47219730324
"33","Algeria","DZA","World","WLD",2011,73436306091
"34","Andorra","AND","World","WLD",2007,1925764487
"35","Andorra","AND","World","WLD",2007,150846157
"36","Andorra","AND","World","WLD",2007,1180157
"37","Andorra","AND","World","WLD",2008,1939929690
"38","Andorra","AND","World","WLD",2008,139099346
"39","Andorra","AND","World","WLD",2008,2114120
"40","Andorra","AND","World","WLD",2011,114022713
"41","Andorra","AND","World","WLD",2011,3112214
"42","Andorra","AND","World","WLD",2009,1610110578
"43","Andorra","AND","World","WLD",2009,100477876
"44","Andorra","AND","World","WLD",2009,7949725
"45","Andorra","AND","World","WLD",2010,1540506337
"46","Andorra","AND","World","WLD",2010,92318968
"47","Andorra","AND","World","WLD",2011,1617690977
"48","Angola","AGO","World","WLD",2009,23918854361
"49","Angola","AGO","World","WLD",2009,40639411732
"50","Angola","AGO","World","WLD",2010,18143268908
