"","Reporter","ReporterISO","Partner","PartnerISO","Year","ttl_val"
"1","Albania","ALB","World","WLD",1997,629026304
"2","Albania","ALB","World","WLD",1997,137681008
"3","Algeria","DZA","World","WLD",1997,8688356352
"4","Algeria","DZA","World","WLD",1997,13894123520
"5","Andorra","AND","World","WLD",1997,1061291648
"6","Andorra","AND","World","WLD",1997,48000384
"7","Argentina","ARG","World","WLD",1997,30349402112
"8","Argentina","ARG","World","WLD",1997,26430820352
"9","Australia","AUS","World","WLD",1997,61833388139
"10","Australia","AUS","World","WLD",1997,62816517159
"11","Australia","AUS","World","WLD",1997,2975459308
"12","Austria","AUT","World","WLD",1997,63630995456
"13","Austria","AUT","World","WLD",1997,56713719808
"14","Bahamas","BHS","World","WLD",1997,1621739008
"15","Bahamas","BHS","World","WLD",1997,181385696
"16","Bahamas","BHS","World","WLD",1997,79387184
"17","Armenia","ARM","World","WLD",1997,754439680
"18","Armenia","ARM","World","WLD",1997,215273552
"19","Belgium-Luxembourg","BEL","World","WLD",1997,159458607104
"20","Belgium-Luxembourg","BEL","World","WLD",1997,172699795456
"21","Bolivia (Plurinational State of)","BOL","World","WLD",1997,1909178240
"22","Bolivia (Plurinational State of)","BOL","World","WLD",1997,1272097664
"23","Brazil","BRA","World","WLD",1997,65074597888
"24","Brazil","BRA","World","WLD",1997,52985810944
"25","Bulgaria","BGR","World","WLD",1997,4931953664
"26","Bulgaria","BGR","World","WLD",1997,4939664384
"27","Canada","CAN","World","WLD",1997,197010906689
"28","Canada","CAN","World","WLD",1997,216037338607
"29","Cabo Verde","CPV","World","WLD",1997,260961152
"30","Cabo Verde","CPV","World","WLD",1997,81534016
"31","Cabo Verde","CPV","World","WLD",1997,67572000
"32","Central African Rep.","CAF","World","WLD",1997,106862248
"33","Central African Rep.","CAF","World","WLD",1997,98583168
"34","Chile","CHL","World","WLD",1997,18110803968
"35","Chile","CHL","World","WLD",1997,16678189056
"36","China","CHN","World","WLD",1997,142370324066
"37","China","CHN","World","WLD",1997,182791584798
"38","Colombia","COL","World","WLD",1997,15378803712
"39","Colombia","COL","World","WLD",1997,11549019136
"40","Costa Rica","CRI","World","WLD",1997,4510893568
"41","Costa Rica","CRI","World","WLD",1997,3892947968
"42","Croatia","HRV","World","WLD",1997,9122318336
"43","Croatia","HRV","World","WLD",1997,4340856320
"44","Cyprus","CYP","World","WLD",1997,3698056448
"45","Cyprus","CYP","World","WLD",1997,1250107776
"46","Cyprus","CYP","World","WLD",1997,821009024
"47","Czechia","CZE","World","WLD",1997,27183540224
"48","Denmark","DNK","World","WLD",1997,44492341248
"49","Ecuador","ECU","World","WLD",1997,4510621184
"50","El Salvador","SLV","World","WLD",1997,2961483008
"51","Estonia","EST","World","WLD",1997,4437264896
"52","Estonia","EST","World","WLD",1997,2935698944
"53","Faeroe Isds","FRO","World","WLD",1997,350133024
"54","Faeroe Isds","FRO","World","WLD",1997,383610688
"55","Finland","FIN","World","WLD",1997,31001018368
"56","Finland","FIN","World","WLD",1997,40980000768
"57","France","FRA","World","WLD",1997,266575347712
"58","France","FRA","World","WLD",1997,283345616896
"59","French Polynesia","PYF","World","WLD",1997,935016960
"60","French Polynesia","PYF","World","WLD",1997,221642624
"61","Gabon","GAB","World","WLD",1997,986852282
"62","Gabon","GAB","World","WLD",1997,2631111668
"63","Gambia","GMB","World","WLD",1997,256046064
"64","Gambia","GMB","World","WLD",1997,8648743
"65","Gambia","GMB","World","WLD",1997,3084603
"66","Germany","DEU","World","WLD",1997,445495672832
"67","Germany","DEU","World","WLD",1997,512440270848
"68","Greece","GRC","World","WLD",1997,26970617856
"69","Greece","GRC","World","WLD",1997,11166989312
"70","Greenland","GRL","World","WLD",1997,374071104
"71","Greenland","GRL","World","WLD",1997,285208064
"72","Guatemala","GTM","World","WLD",1997,3851918336
"73","Guatemala","GTM","World","WLD",1997,2344078592
"74","Guyana","GUY","World","WLD",1997,602336000
"75","Guyana","GUY","World","WLD",1997,536224000
"76","Haiti","HTI","World","WLD",1997,60664344
"77","Honduras","HND","World","WLD",1997,2147369856
"78","Honduras","HND","World","WLD",1997,1445698432
"79","China, Hong Kong SAR","HKG","World","WLD",1997,213299999865
"80","China, Hong Kong SAR","HKG","World","WLD",1997,188201260754
"81","China, Hong Kong SAR","HKG","World","WLD",1997,160893836246
"82","Hungary","HUN","World","WLD",1997,21234012160
"83","Hungary","HUN","World","WLD",1997,19099193344
"84","Iceland","ISL","World","WLD",1997,2019473792
"85","Iceland","ISL","World","WLD",1997,1851417344
"86","Indonesia","IDN","World","WLD",1997,41679745024
"87","Indonesia","IDN","World","WLD",1997,53443579904
"88","Iran","IRN","World","WLD",1997,14180701642
"89","Iran","IRN","World","WLD",1997,18425255702
"90","Ireland","IRL","World","WLD",1997,39232667648
"91","Ireland","IRL","World","WLD",1997,53619650560
"92","Israel","ISR","World","WLD",1997,29022651000
"93","Israel","ISR","World","WLD",1997,22502976000
"94","Italy","ITA","World","WLD",1997,208317104128
"95","Italy","ITA","World","WLD",1997,238265778176
"96","Japan","JPN","World","WLD",1997,338842341435
"97","Japan","JPN","World","WLD",1997,421052867749
"98","Kenya","KEN","World","WLD",1997,3278425088
"99","Kenya","KEN","World","WLD",1997,1959424512
"100","Rep. of Korea","KOR","World","WLD",1997,144614211584
"101","Rep. of Korea","KOR","World","WLD",1997,136151023616
"102","Lebanon","LBN","World","WLD",1997,7437826048
"103","Lebanon","LBN","World","WLD",1997,642229248
"104","Latvia","LVA","World","WLD",1997,2720941056
"105","Latvia","LVA","World","WLD",1997,1671602048
"106","Lithuania","LTU","World","WLD",1997,5643365888
"107","Lithuania","LTU","World","WLD",1997,3862455552
"108","China, Macao SAR","MAC","World","WLD",1997,2076626176
"109","China, Macao SAR","MAC","World","WLD",1997,2282087168
"110","China, Macao SAR","MAC","World","WLD",1997,137436048
"111","Madagascar","MDG","World","WLD",1997,573047296
"112","Madagascar","MDG","World","WLD",1997,277755424
"113","Malaysia","MYS","World","WLD",1997,78433583104
"114","Malaysia","MYS","World","WLD",1997,78729420800
"115","Maldives","MDV","World","WLD",1997,348840832
"116","Maldives","MDV","World","WLD",1997,70214168
"117","Malta","MLT","World","WLD",1997,2553495296
"118","Malta","MLT","World","WLD",1997,1644257280
"119","Malta","MLT","World","WLD",1997,180146928
"120","Mauritius","MUS","World","WLD",1997,2230989824
"121","Mauritius","MUS","World","WLD",1997,1600096256
"122","Mexico","MEX","World","WLD",1997,111983247360
"123","Mexico","MEX","World","WLD",1997,110046904320
"124","Mongolia","MNG","World","WLD",1997,467845248
"125","Mongolia","MNG","World","WLD",1997,451434112
"126","Netherlands","NLD","World","WLD",1997,162359656448
"127","Netherlands","NLD","World","WLD",1997,184433197056
"128","New Zealand","NZL","World","WLD",1997,14518500352
"129","New Zealand","NZL","World","WLD",1997,14085868544
"130","New Zealand","NZL","World","WLD",1997,358680960
"131","Nicaragua","NIC","World","WLD",1997,1469732480
"132","Nicaragua","NIC","World","WLD",1997,666607296
"133","Norway","NOR","World","WLD",1997,35768274944
"134","Norway","NOR","World","WLD",1997,48549838848
"135","Poland","POL","World","WLD",1997,42257501906
"136","Poland","POL","World","WLD",1997,25700735424
"137","Portugal","PRT","World","WLD",1997,34440638464
"138","Portugal","PRT","World","WLD",1997,23524898816
"139","Romania","ROU","World","WLD",1997,11279739904
"140","Romania","ROU","World","WLD",1997,8431049216
"141","Russian Federation","RUS","World","WLD",1997,66326577152
"142","Russian Federation","RUS","World","WLD",1997,85889245184
"143","Senegal","SEN","World","WLD",1997,1706332928
"144","Senegal","SEN","World","WLD",1997,344527488
"145","Seychelles","SYC","World","WLD",1997,340064857
"146","Seychelles","SYC","World","WLD",1997,113656443
"147","Seychelles","SYC","World","WLD",1997,43789025
"148","India","IND","World","WLD",1997,41429430272
"149","India","IND","World","WLD",1997,34793750528
"150","India","IND","World","WLD",1997,72735408
"151","Singapore","SGP","World","WLD",1997,132441673839
"152","Singapore","SGP","World","WLD",1997,124988069164
"153","Slovakia","SVK","World","WLD",1997,11726973952
"154","Slovakia","SVK","World","WLD",1997,9633901568
"155","Slovenia","SVN","World","WLD",1997,9365660672
"156","Slovenia","SVN","World","WLD",1997,8368848896
"157","So. African Customs Union","ZAF","World","WLD",1997,30878982144
"158","So. African Customs Union","ZAF","World","WLD",1997,22485379072
"159","Spain","ESP","World","WLD",1997,124417654784
"160","Spain","ESP","World","WLD",1997,106240696320
"161","Sweden","SWE","World","WLD",1997,63168258048
"162","Sweden","SWE","World","WLD",1997,81477337088
"163","Switzerland","CHE","World","WLD",1997,75900354560
"164","Switzerland","CHE","World","WLD",1997,76149940224
"165","Turkey","TUR","World","WLD",1997,48585060352
"166","Turkey","TUR","World","WLD",1997,26244683776
"167","Tuvalu","TUV","World","WLD",1997,6735530
"168","Uganda","UGA","World","WLD",1997,795344768
"169","Uganda","UGA","World","WLD",1997,402403200
"170","North Macedonia","MKD","World","WLD",1997,1778488832
"171","North Macedonia","MKD","World","WLD",1997,1236803584
"172","United Kingdom","GBR","World","WLD",1997,305135405241
"173","United Kingdom","GBR","World","WLD",1997,278906969481
"174","United Rep. of Tanzania","TZA","World","WLD",1997,1301926528
"175","United Rep. of Tanzania","TZA","World","WLD",1997,598168576
"176","USA","USA","World","WLD",1997,898025469114
"177","USA","USA","World","WLD",1997,687532541990
"178","USA","USA","World","WLD",1997,44354154440
"179","Uruguay","URY","World","WLD",1997,3715532288
"180","Uruguay","URY","World","WLD",1997,2729518080
"181","Venezuela","VEN","World","WLD",1997,13158796288
"182","Venezuela","VEN","World","WLD",1997,22889846784
"183","Zambia","ZMB","World","WLD",1997,1000681995
"184","Zambia","ZMB","World","WLD",1997,1123429439
"185","Albania","ALB","World","WLD",1998,841256184
"186","Albania","ALB","World","WLD",1998,207653802
"187","Algeria","DZA","World","WLD",1998,9403430912
"188","Algeria","DZA","World","WLD",1998,9838587904
"189","Andorra","AND","World","WLD",1998,1064134784
"190","Andorra","AND","World","WLD",1998,57858896
"191","Argentina","ARG","World","WLD",1998,31377246208
"192","Argentina","ARG","World","WLD",1998,26433671168
"193","Australia","AUS","World","WLD",1998,60774257104
"194","Australia","AUS","World","WLD",1998,55808521696
"195","Australia","AUS","World","WLD",1998,3005875180
"196","Austria","AUT","World","WLD",1998,67098177536
"197","Austria","AUT","World","WLD",1998,60856832000
"198","Bahamas","BHS","World","WLD",1998,1815543296
"199","Bahamas","BHS","World","WLD",1998,300320704
"200","Bahamas","BHS","World","WLD",1998,162100592
"201","Belgium-Luxembourg","BEL","World","WLD",1998,166721634304
"202","Belgium-Luxembourg","BEL","World","WLD",1998,178615435264
"203","Bolivia (Plurinational State of)","BOL","World","WLD",1998,2350150400
"204","Bolivia (Plurinational State of)","BOL","World","WLD",1998,1323269376
"205","Brazil","BRA","World","WLD",1998,60793118720
"206","Brazil","BRA","World","WLD",1998,51119869952
"207","Belize","BLZ","World","WLD",1998,292261248
"208","Belize","BLZ","World","WLD",1998,162217536
"209","Belize","BLZ","World","WLD",1998,15792413
"210","Bulgaria","BGR","World","WLD",1998,4995096064
